List of universities in France:
state_province     domain      country                       web pages                                  name               alpha two code
null           [esc-clermont.fr]         France     [http://www.esc-clermont.fr/]     Ecole Supérieure de Commerce de Clermont-Ferrand     FR
null           [escdijon.com]         France     [http://www.escdijon.com/]     Ecole Supérieure de Commerce de Dijon     FR
null           [escem.fr]         France     [http://www.escem.fr/]     Ecole Supérieure de Commerce et Management     FR
null           [esc-lille.fr]         France     [http://www.esc-lille.fr/]     Ecole Supérieure de Commerce de Lille     FR
null           [esc-marseille.fr]         France     [http://www.esc-marseille.fr/]     Ecole Supérieure de Commerce de Marseille-Provence     FR
null           [escna.fr]         France     [http://www.escna.fr/]     Ecole Supérieure de Commerce de Nantes-Atlantique     FR
null           [esc-normandie.fr]         France     [http://www.esc-normandie.fr/]     Ecole Supérieure de Commerce de Le Havre/Caen     FR
null           [escom.fr]         France     [http://www.escom.fr/]     Ecole Supérieure de Chimie Organique et Minérale     FR
null           [esc-pau.fr]         France     [http://www.esc-pau.fr/]     Ecole Supérieure de Commerce de Pau     FR
null           [escp.fr, escp.eu, edu.escp.eu]         France     [http://www.escp.fr/, https://escp.eu/]     Ecole Supérieure de Commerce de Paris     FR
null           [esc-reims.edu]         France     [http://www.esc-reims.edu/]     Ecole Supérieure de Commerce de Reims     FR
null           [esc-rouen.fr]         France     [http://www.esc-rouen.fr/]     Ecole Supérieure de Commerce de Rouen     FR
null           [esc-toulouse.fr]         France     [http://www.esc-toulouse.fr/]     Ecole Supérieure de Commerce de Toulouse     FR
null           [eseo.fr]         France     [http://www.eseo.fr/]     Ecole Supérieure d'Electronique de l'Ouest     FR
null           [esiae.fr]         France     [http://www.esiae.fr/]     Ecole Supérieure Internationale d'Administration des Entreprises     FR
null           [esiea.fr]         France     [http://www.esiea.fr/]     Ecole Supérieure d'Informatique-Electronique-Automatique     FR
null           [esiee.fr]         France     [http://www.esiee.fr/]     Ecole Supérieure d'Ingénieurs en Electronique et Electrotechnique     FR
null           [esigelec.fr]         France     [http://www.esigelec.fr/]     Ecole Supérieure d'Ingénieurs en Génie Electrique     FR
null           [esim.imt-mrs.fr]         France     [http://esim.imt-mrs.fr/]     Ecole Supérieure d'Ingénieurs de Marseille     FR
null           [esitpa.org]         France     [http://www.esitpa.org/]     Ecole Supérieure d'Ingénieurs et de Techniciens pour l'Agriculture     FR
null           [esme.fr]         France     [http://www.esme.fr/]     Ecole Spéciale de Mécanique et d'Electricité     FR
null           [espci.fr]         France     [http://www.espci.fr/]     Ecole Supérieure de Physique et de Chimie Industrielles     FR
null           [essca.asso.fr]         France     [http://www.essca.asso.fr/]     Ecole Supérieure des Sciences Commerciales d'Angers     FR
null           [essec.fr]         France     [http://www.essec.fr/]     Ecole Supérieure des Sciences Economiques et Commerciales     FR
null           [esstin.u-nancy.fr]         France     [http://www.esstin.u-nancy.fr/]     Ecole Supérieure des Sciences et Technologie de l'Ingénieur de Nancy     FR
null           [estp.fr]         France     [http://www.estp.fr/]     Ecole Spéciale des Travaux Publics du Bâtiment et de l'Industrie     FR
null           [eudil.fr]         France     [http://www.eudil.fr/]     Ecole Universitaire d'Ingénieurs de Lille     FR
null           [fupl.asso.fr]         France     [http://www.fupl.asso.fr/estit/]     Ecole Supérieure des Techniques Industrielles et des Textiles     FR
null           [fupl.asso.fr]         France     [http://www.fupl.asso.fr/]     Université Catholique de Lille     FR
null           [grenoble-em.com, esc-grenoble.fr]         France     [http://www.grenoble-em.com/]     Grenoble Ecole de Management     FR
null           [groupe-esa.com]         France     [http://www.groupe-esa.com/]     Ecole Supérieure d'Agriculture d'Angers     FR
null           [hec.fr]         France     [http://www.hec.fr/]     Ecole des Hautes Etudes Commerciales     FR
null           [hei.fr]         France     [http://www.hei.fr/]     Ecole des Hautes Etudes Industrielles de Lille     FR
null           [icam.fr]         France     [http://www.icam.fr/]     Institut Catholique d'Arts et Métiers Lille     FR
null           [icam.fr]         France     [http://www.icam.fr/presentation/nantes.htm]     Institut Catholique d'Arts et Métiers Nantes     FR
null           [icn-nancy.com]         France     [http://www.icn-nancy.com/]     Institut Commercial de Nancy     FR
null           [icp.fr]         France     [http://www.icp.fr/]     Institut Catholique de Paris     FR
null           [ict-toulouse.asso.fr]         France     [http://www.ict-toulouse.asso.fr/]     Institut Catholique de Toulouse     FR
null           [iep.u-bordeaux.fr]         France     [http://www.iep.u-bordeaux.fr/]     Institut d'Etudes Politiques de Bordeaux     FR
null           [ifp.fr]         France     [http://www.ifp.fr/EC/EC000GP1.html]     Ecole Nationale Supérieure du Pétrole et des Monteurs     FR
null           [inp-fc.fr]         France     [http://www.inp-fc.fr/~ensigc/]     Ecole Nationale Supérieure d'Ingénieurs de Génie Chimique     FR
null           [inp-fc.fr]         France     [http://www.inp-fc.fr/]     Institut National Polytechnique de Toulouse     FR
null           [inpg.fr]         France     [http://www.inpg.fr/INPG/fr_see.html]     Ecole Nationale Supérieure d'Electrochimie et d'Electrométallurgie de Gernoble     FR
null           [inpl-nancy.fr]         France     [http://www.inpl-nancy.fr/]     Institut National Polytechnique de Lorraine     FR
null           [insa-lyon.fr]         France     [http://www.insa-lyon.fr/]     Institut National des Sciences Appliquées de Lyon     FR
null           [insa-rennes.fr]         France     [http://www.insa-rennes.fr/]     Institut National des Sciences Appliquées de Rennes     FR
null           [insa-rouen.fr]         France     [http://www.insa-rouen.fr/]     Institut National des Sciences Appliquées de Rouen     FR
null           [insa-tlse.fr]         France     [http://www.insa-tlse.fr/]     Institut National des Sciences Appliquées de Toulouse     FR
null           [inseec.fr]         France     [http://www.inseec.fr/]     Institut des hautes études économiques et commerciales     FR
null           [int-evry.fr]         France     [http://www.int-evry.fr/]     Institut National des Télécommunications     FR
null           [iota.u-psud.fr]         France     [http://www.iota.u-psud.fr/~ecole/]     Ecole Supérieure d'Optique     FR
null           [ircam.fr]         France     [http://www.ircam.fr/]     Institut de Recherche et Coordination Acoustique/Musique     FR
null           [ireste.fr]         France     [http://www.ireste.fr/]     Institut de Recherche et d'Enseignement Supérieur aux Techniques de l'électronique     FR
null           [isab.fr]         France     [http://www.isab.fr/]     Institut Supérieur Agricole de Beauvais     FR
null           [isa.fupl.asso.fr]         France     [http://www.isa.fupl.asso.fr/]     Institut Supérieur d'Agriculture Lille     FR
null           [isara.fr]         France     [http://www.isara.fr/]     Institut Supérieur d'Agriculture Rhone-Alpes     FR
null           [isen.fr]         France     [http://www.isen.fr/]     Institut Supérieure d'Electronique du Nord     FR
null           [isep.fr]         France     [http://www.isep.fr/]     Institut Supérieure d'Electronique de Paris     FR
null           [isim.univ-montp2.fr]         France     [http://www.isim.univ-montp2.fr/]     Institut des Sciences de l'Ingénieur de Montpellier     FR
null           [ismcm-cesti.fr]         France     [http://www.ismcm-cesti.fr/]     Centre d'Etudes Supérieures des Techniques Industrielles     FR
null           [ismra.fr]         France     [http://www.ismra.fr/]     Institut des Sciences de la Matière et du Rayonnement     FR
null           [itech.fr]         France     [http://www.itech.fr/]     Institut Textile et Chimique de Lyon     FR
null           [jussieu.fr, etu.upmc.fr, upmc.fr, etu.sorbonne-universite.fr, sorbonne-universite.fr]         France     [https://sciences.sorbonne-universite.fr/]     Sorbonne Université - Faculté des Sciences (Paris VI)     FR
null           [mines.u-nancy.fr]         France     [http://www.mines.u-nancy.fr/]     Ecole Nationale Supérieure des Mines de Nancy     FR
null           [montaigne.u-bordeaux.fr]         France     [http://www.montaigne.u-bordeaux.fr/]     Université Michel de Montaigne (Bordeaux III )     FR
null           [montesquieu.u-bordeaux.fr]         France     [http://www.montesquieu.u-bordeaux.fr/]     Université Montesquieu (Bordeaux IV)     FR
null           [nancy.archi.fr]         France     [http://www.nancy.archi.fr/]     Ecole d'Architecture de Nancy     FR
null           [paris4.sorbonne.fr]         France     [http://www.paris4.sorbonne.fr/]     Université Paris-Sorbonne (Paris IV)     FR
null           [paris.ensam.fr]         France     [http://www.paris.ensam.fr/]     Ecole Nationale Supérieure d'Arts et Métiers de Paris     FR
null           [polytech-lille.fr]         France     [http://www.polytech-lille.fr/]     Ecole Polytechnique Universitaire de Lille     FR
null           [polytech-marseille.fr]         France     [http://www.polytech-marseille.fr/]     Ecole Polytechnique Marseille     FR
null           [polytechnique.fr, polytechnique.edu]         France     [http://www.polytechnique.fr/, https://www.polytechnique.edu/]     École Polytechnique     FR
null           [schillerparis.com]         France     [http://www.schillerparis.com/]     Schiller International University, Paris     FR
null           [schillerstrasbourg.com]         France     [http://www.schillerstrasbourg.com/]     Schiller International University, Strasbourg     FR
null           [sciences-po.fr, sciencespo.fr]         France     [http://www.sciences-po.fr/]     Institut d'Etudes Politiques de Paris (Sciences Po)     FR
null           [sigu7.jussieu.fr]         France     [http://www.sigu7.jussieu.fr/]     Université Denis Diderot (Paris VII)     FR
null           [sorbon.fr]         France     [http://www.sorbon.fr/]     Ecole Superieure Robert de Sorbon     FR
null           [supaero.fr]         France     [http://www.supaero.fr/]     Ecole Nationale Supérieure de l'Aéronautique et de l'Espace     FR
null           [supco-amiens.fr]         France     [http://www.supco-amiens.fr/]     Groupe Sup de Co Amiens Picardie     FR
null           [supco-montpellier.fr]         France     [http://www.supco-montpellier.fr/]     Groupe Sup de Co Montpellier     FR
null           [supelec.fr]         France     [http://www.supelec.fr/]     Ecole Supérieure d'Electricité     FR
null           [u-3mrs.fr]         France     [http://www.u-3mrs.fr/]     Université d'Aix-Marseille III     FR
null           [u-bordeaux2.fr]         France     [http://www.u-bordeaux2.fr/]     Université Victor Segalen (Bordeaux II)     FR
null           [ubfc.fr]         France     [http://www.ubfc.fr/]     Université Bourgogne - Franche-Comté     FR
null           [u-cergy.fr]         France     [http://www.u-cergy.fr/]     Université de Cergy-Pontoise     FR
null           [u-clermont1.fr]         France     [http://www.u-clermont1.fr/]     Université d'Auvergne (Clermont-Ferrand I)     FR
null           [uco.fr]         France     [http://www.uco.fr/]     Université Catholique de l' Ouest     FR
null           [u-grenoble3.fr, univ-grenoble-alpes.fr, ujf-grenoble.fr]         France     [https://www.univ-grenoble-alpes.fr/]     Université Grenoble Alpes     FR
null           [uhb.fr]         France     [http://www.uhb.fr/]     Université Rennes II - Haute-Bretagne     FR
null           [uhp-nancy.fr]         France     [http://www.uhp-nancy.fr/]     Université Henri Poincaré (Nancy I)     FR
null           [unicaen.fr]         France     [http://www.unicaen.fr/]     Université de Caen Basse Normandie     FR
null           [unice.fr]         France     [http://www.unice.fr/]     Université de Nice-Sophia Antipolis     FR
null           [unilim.fr]         France     [http://www.unilim.fr/]     Université de Limoges     FR
null           [univ-angers.fr]         France     [http://www.univ-angers.fr/]     Université d'Angers     FR
null           [univ-artois.fr]         France     [http://www.univ-artois.fr/]     Université d'Artois     FR
null           [univ-avignon.fr]         France     [http://www.univ-avignon.fr/]     Université d'Avignon     FR
null           [univ-bpclermont.fr]         France     [http://www.univ-bpclermont.fr/]     Université Blaise Pascal (Clermont-Ferrand II)     FR
null           [univ-brest.fr]         France     [http://www.univ-brest.fr/]     Université de Bretagne Occidentale     FR
null           [univ-catholyon.fr]         France     [http://www.univ-catholyon.fr/]     Université Catholique de Lyon     FR
null           [univ-corse.fr]         France     [http://www.univ-corse.fr/]     Université de Corse Pascal Paoli     FR
null           [univ-evry.fr]         France     [http://www.univ-evry.fr/]     Université d'Evry Val d'Essonne     FR
null           [univ-inpt.fr]         France     [http://www.univ-inpt.fr/~ensct/]     Ecole Nationale Supérieure de Chimie de Toulouse     FR
null           [univ-lehavre.fr]         France     [http://www.univ-lehavre.fr/]     Université du Havre     FR
null           [univ-lemans.fr]         France     [http://www.univ-lemans.fr/]     Université du Maine     FR
null           [univ-lille1.fr]         France     [http://www.univ-lille1.fr/]     Université des Sciences et Technologies de Lille (Lille I)     FR
null           [univ-lille2.fr]         France     [http://www.univ-lille2.fr/]     Université du Droit et de la Sante (Lille II)     FR
null           [univ-lille3.fr]         France     [http://www.univ-lille3.fr/]     Université Charles-de-Gaulle (Lille III)     FR
null           [univ-littoral.fr]         France     [http://www.univ-littoral.fr/]     Université du Littoral Cote d'Opale     FR
null           [univ-lorraine.fr]         France     [http://www.univ-lorraine.fr/]     Université de Lorraine     FR
null           [univ-lr.fr]         France     [http://www.univ-lr.fr/]     Université de La Rochelle     FR
null           [univ-lyon1.fr]         France     [http://www.univ-lyon1.fr/]     Université Claude Bernard (Lyon I)     FR
null           [univ-lyon2.fr]         France     [http://www.univ-lyon2.fr/]     Université Lumiére (Lyon II)     FR
null           [univ-lyon3.fr]         France     [http://www.univ-lyon3.fr/]     Université Jean Moulin (Lyon III)     FR
null           [cpe.fr]         France     [https://www.cpe.fr/]     École supérieure de chimie, physique, électronique de Lyon (CPE Lyon)     FR
null           [univmed.fr]         France     [http://www.univmed.fr/]     Université de la Méditerranée (Aix Marseille II)     FR
null           [univ-metz.fr]         France     [http://www.univ-metz.fr/]     Université de Metz     FR
null           [univ-mlv.fr, u-pem.fr, etud.u-pem.fr]         France     [http://www.univ-mlv.fr/, http://www.u-pem.fr/]     Université Paris-Est Marne-la-Vallée     FR
null           [univ-montp1.fr]         France     [http://www.univ-montp1.fr/]     Université de Montpellier I     FR
null           [univ-montp2.fr]         France     [http://www.univ-montp2.fr/]     Université de Montpellier II     FR
null           [univ-montp3.fr]         France     [http://www.univ-montp3.fr/]     Université Paul Valéry (Montpellier III)     FR
null           [univ-mulhouse.fr, uha.fr]         France     [http://www.univ-mulhouse.fr/, https://www.uha.fr/]     Université de Haute-Alsace     FR
null           [univ-nancy2.fr]         France     [http://www.univ-nancy2.fr/]     Université Nancy II     FR
null           [univ-nantes.fr]         France     [http://www.univ-nantes.fr/]     Université de Nantes     FR
null           [univ-orleans.fr]         France     [http://www.univ-orleans.fr/]     Université d'Orléans     FR
null           [univ-paris12.fr]         France     [http://www.univ-paris12.fr/]     Université Val-de-Marne (Paris XII)     FR
null           [univ-paris13.fr]         France     [http://www.univ-paris13.fr/]     Université Paris Nord (Paris XIII)     FR
null           [univ-paris1.fr]         France     [http://www.univ-paris1.fr/]     Université Panthéon-Sorbonne (Paris I)     FR
null           [univ-paris3.fr]         France     [http://www.univ-paris3.fr/]     Université Sorbonne-Nouvelle (Paris III)     FR
null           [univ-paris5.fr]         France     [http://www.univ-paris5.fr/]     Université René Descartes (Paris V)     FR
null           [univ-paris8.fr]         France     [http://www.univ-paris8.fr/]     Université Vincennes Saint-Denis (Paris VIII)     FR
null           [univ-pau.fr]         France     [http://www.univ-pau.fr/]     Université de Pau et des Pays de l'Adour     FR
null           [univ-perp.fr]         France     [http://www.univ-perp.fr/]     Université de Perpignan     FR
null           [univ-poitiers.fr]         France     [http://www.univ-poitiers.fr/]     Université de Poitiers     FR
null           [univ-reims.fr]         France     [http://www.univ-reims.fr/]     Université de Reims Champagne-Ardenne     FR
null           [univ-rennes1.fr]         France     [http://www.univ-rennes1.fr/]     Université Rennes I     FR
null           [univ-rouen.fr]         France     [http://www.univ-rouen.fr/]     Université de Rouen - Haute Normandie     FR
null           [univ-savoie.fr]         France     [http://www.univ-savoie.fr/]     Université de Savoie     FR
null           [univ-st-etienne.fr]         France     [http://www.univ-st-etienne.fr/]     Université Jean Monnet     FR
null           [univ-tln.fr]         France     [http://www.univ-tln.fr/]     Université du Sud, Toulon et Var     FR
null           [univ-tlse1.fr]         France     [http://www.univ-tlse1.fr/]     Université des Sciences Sociales (Toulouse I)     FR
null           [univ-tlse2.fr]         France     [http://www.univ-tlse2.fr/]     Université de Toulouse-le-Mirail (Toulouse II)     FR
null           [univ-toulouse.fr]         France     [http://www.univ-toulouse.fr/]     Université de Toulouse     FR
null           [univ-tours.fr]         France     [http://www.univ-tours.fr/]     Université François Rabelais de Tours     FR
null           [univ-ubs.fr]         France     [http://www.univ-ubs.fr/]     Université de Bretagne Sud     FR
null           [univ-valenciennes.fr]         France     [http://www.univ-valenciennes.fr/ensimev/]     Ecole Nationale Supérieure d'Ingénieurs en Mécanique et Energétique de Valenciennes     FR
null           [univ-valenciennes.fr]         France     [http://www.univ-valenciennes.fr/]     Université de Valenciennes et du Hainaut-Cambrésis     FR
null           [u-paris10.fr]         France     [http://www.u-paris10.fr/]     Université Paris Nanterre (Paris X)     FR
null           [u-paris2.fr]         France     [http://www.u-paris2.fr/]     Université Panthéon-Assas (Paris II)     FR
null           [u-picardie.fr]         France     [http://www.u-picardie.fr/]     Université de Picardie Jules-Verne     FR
null           [ups-tlse.fr]         France     [http://www.ups-tlse.fr/]     Université Paul Sabatier (Toulouse III)     FR
